GT	Gx	Gy	Gz	Temperature	Gyrox	Gyroy	Gyroz
 0.987	 0.105	 0.981	 0.031	 22.3	-2.960	 0.000	 0.000
 0.988	 0.104	 0.983	 0.022	 22.4	-2.975	 0.000	 0.000
 0.995	 0.103	 0.989	 0.030	 22.3	-2.884	 0.000	 0.000
 0.996	 0.111	 0.989	 0.029	 22.4	-2.930	 0.000	 0.000
 0.986	 0.106	 0.980	 0.022	 22.4	-3.098	 0.000	 0.000
 0.987	 0.106	 0.981	 0.021	 22.4	-3.174	 0.000	 0.000
 0.990	 0.108	 0.983	 0.023	 22.4	-2.914	 0.000	 0.000
 0.987	 0.110	 0.981	 0.024	 22.3	-2.747	 0.000	 0.000
 0.982	 0.099	 0.976	 0.026	 22.3	-3.036	 0.000	 0.000
 0.988	 0.106	 0.982	 0.027	 22.4	-3.174	 0.000	 0.000
 0.989	 0.111	 0.983	 0.024	 22.4	-3.082	 0.000	 0.000
 0.988	 0.108	 0.982	 0.022	 22.3	-2.960	 0.000	 0.000
 0.985	 0.097	 0.980	 0.023	 22.4	-3.021	 0.000	 0.000
 0.983	 0.097	 0.978	 0.028	 22.3	-2.975	 0.000	 0.000
 0.984	 0.098	 0.979	 0.025	 22.4	-2.945	 0.000	 0.000
 0.990	 0.102	 0.985	 0.027	 22.3	-2.945	 0.000	 0.000
 0.992	 0.101	 0.987	 0.022	 22.3	-2.960	 0.000	 0.000
 0.990	 0.102	 0.985	 0.027	 22.4	-3.204	 0.000	 0.000
 0.991	 0.099	 0.986	 0.029	 22.5	-3.067	 0.000	 0.000
 0.990	 0.104	 0.984	 0.024	 22.3	-2.869	 0.000	 0.000
 0.995	 0.106	 0.989	 0.025	 22.4	-2.625	 0.000	 0.000
 0.996	 0.109	 0.989	 0.024	 22.4	-3.006	 0.000	 0.000
 0.985	 0.106	 0.979	 0.024	 22.3	-3.296	 0.000	 0.000
 0.985	 0.097	 0.979	 0.022	 22.3	-3.159	 0.000	 0.000
 0.986	 0.103	 0.980	 0.025	 22.3	-3.098	 0.000	 0.000
 0.984	 0.101	 0.979	 0.030	 22.4	-2.991	 0.000	 0.000
 0.986	 0.101	 0.980	 0.026	 22.4	-2.945	 0.000	 0.000
 0.990	 0.104	 0.984	 0.028	 22.5	-3.006	 0.000	 0.000
 0.991	 0.106	 0.985	 0.024	 22.3	-3.113	 0.000	 0.000
 0.990	 0.103	 0.984	 0.036	 22.4	-3.052	 0.000	 0.000
 0.991	 0.102	 0.985	 0.031	 22.4	-3.036	 0.000	 0.000
 0.995	 0.107	 0.989	 0.024	 22.3	-2.960	 0.000	 0.000
 0.997	 0.103	 0.991	 0.023	 22.4	-2.960	 0.000	 0.000
 0.988	 0.099	 0.982	 0.027	 22.4	-3.128	 0.000	 0.000
 0.986	 0.106	 0.980	 0.025	 22.3	-3.342	 0.000	 0.000
 0.989	 0.100	 0.983	 0.032	 22.3	-3.052	 0.000	 0.000
 0.988	 0.103	 0.982	 0.023	 22.4	-2.991	 0.000	 0.000
 0.990	 0.108	 0.984	 0.024	 22.3	-2.823	 0.000	 0.000
 0.992	 0.102	 0.986	 0.018	 22.3	-2.838	 0.000	 0.000
 0.991	 0.104	 0.985	 0.022	 22.4	-2.930	 0.000	 0.000
 0.988	 0.102	 0.982	 0.024	 22.3	-3.036	 0.000	 0.000
 0.991	 0.107	 0.985	 0.019	 22.4	-2.838	 0.000	 0.000
 0.988	 0.105	 0.981	 0.029	 22.3	-2.808	 0.000	 0.000
 0.992	 0.102	 0.986	 0.037	 22.4	-2.701	 0.000	 0.000
 0.990	 0.099	 0.985	 0.029	 22.4	-2.701	 0.000	 0.000
 0.987	 0.101	 0.981	 0.025	 22.4	-3.021	 0.000	 0.000
 0.986	 0.101	 0.981	 0.026	 22.4	-3.220	 0.000	 0.000
 0.987	 0.107	 0.981	 0.021	 22.4	-3.052	 0.000	 0.000
 0.987	 0.103	 0.981	 0.027	 22.3	-2.518	 0.000	 0.000
 0.988	 0.094	 0.983	 0.031	 22.3	-2.518	 0.000	 0.000
 0.990	 0.100	 0.985	 0.027	 22.3	-3.067	 0.000	 0.000
 0.992	 0.103	 0.986	 0.026	 22.3	-3.143	 0.000	 0.000
 0.992	 0.103	 0.987	 0.025	 22.4	-2.853	 0.000	 0.000
 0.989	 0.098	 0.983	 0.025	 22.4	-2.762	 0.000	 0.000
 0.989	 0.104	 0.983	 0.024	 22.4	-2.945	 0.000	 0.000
 0.986	 0.108	 0.980	 0.023	 22.4	-3.082	 0.000	 0.000
 0.989	 0.104	 0.984	 0.028	 22.3	-3.036	 0.000	 0.000
 0.990	 0.102	 0.984	 0.028	 22.3	-3.036	 0.000	 0.000
 0.987	 0.107	 0.980	 0.025	 22.4	-3.159	 0.000	 0.000
 0.987	 0.108	 0.981	 0.024	 22.4	-3.159	 0.000	 0.000
 0.993	 0.103	 0.987	 0.020	 22.5	-3.204	 0.000	 0.000
 0.993	 0.100	 0.988	 0.017	 22.3	-3.159	 0.000	 0.000
 0.985	 0.104	 0.979	 0.023	 22.4	-2.762	 0.000	 0.000
 0.981	 0.107	 0.975	 0.017	 22.3	-2.945	 0.000	 0.000
 0.993	 0.108	 0.987	 0.015	 22.3	-2.975	 0.000	 0.000
 0.991	 0.103	 0.985	 0.022	 22.4	-2.640	 0.000	 0.000
 0.986	 0.107	 0.980	 0.019	 22.4	-2.747	 0.000	 0.000
 0.989	 0.101	 0.984	 0.027	 22.4	-2.853	 0.000	 0.000
 0.990	 0.100	 0.985	 0.024	 22.4	-2.945	 0.000	 0.000
 0.986	 0.100	 0.981	 0.015	 22.4	-3.006	 0.000	 0.000
 0.990	 0.100	 0.985	 0.023	 22.3	-2.914	 0.000	 0.000
 0.991	 0.099	 0.986	 0.020	 22.3	-2.808	 0.000	 0.000
 0.984	 0.103	 0.978	 0.029	 22.4	-2.808	 0.000	 0.000
 0.988	 0.106	 0.982	 0.033	 22.4	-2.731	 0.000	 0.000
 0.991	 0.104	 0.985	 0.031	 22.3	-2.747	 0.000	 0.000
 0.994	 0.103	 0.988	 0.031	 22.4	-3.098	 0.000	 0.000
 0.990	 0.098	 0.985	 0.030	 22.3	-3.250	 0.000	 0.000
 0.990	 0.098	 0.984	 0.036	 22.4	-2.930	 0.000	 0.000
 0.990	 0.101	 0.984	 0.024	 22.3	-2.731	 0.000	 0.000
 0.995	 0.101	 0.990	 0.023	 22.3	-2.777	 0.000	 0.000
 0.994	 0.106	 0.988	 0.026	 22.5	-3.006	 0.000	 0.000
 0.991	 0.099	 0.986	 0.018	 22.4	-3.128	 0.000	 0.000
 0.993	 0.101	 0.988	 0.031	 22.4	-3.067	 0.000	 0.000
 0.988	 0.096	 0.983	 0.026	 22.3	-2.869	 0.000	 0.000
 0.986	 0.100	 0.980	 0.033	 22.4	-2.823	 0.000	 0.000
 0.989	 0.107	 0.982	 0.026	 22.3	-2.884	 0.000	 0.000
 0.996	 0.103	 0.990	 0.033	 22.4	-2.808	 0.000	 0.000
 0.995	 0.096	 0.990	 0.026	 22.3	-2.945	 0.000	 0.000
 0.990	 0.100	 0.984	 0.021	 22.4	-2.975	 0.000	 0.000
 0.988	 0.102	 0.982	 0.027	 22.4	-2.762	 0.000	 0.000
 0.994	 0.107	 0.988	 0.030	 22.4	-2.747	 0.000	 0.000
 0.996	 0.107	 0.990	 0.026	 22.4	-2.716	 0.000	 0.000
 0.991	 0.103	 0.986	 0.024	 22.4	-2.869	 0.000	 0.000
 0.989	 0.102	 0.983	 0.019	 22.3	-3.082	 0.000	 0.000
 0.987	 0.102	 0.982	 0.026	 22.4	-3.113	 0.000	 0.000
 0.989	 0.102	 0.983	 0.028	 22.3	-2.960	 0.000	 0.000
 0.988	 0.106	 0.981	 0.028	 22.3	-3.052	 0.000	 0.000
 0.993	 0.107	 0.987	 0.036	 22.3	-3.159	 0.000	 0.000
 0.992	 0.109	 0.986	 0.030	 22.3	-3.174	 0.000	 0.000
 0.987	 0.104	 0.981	 0.033	 22.4	-3.159	 0.000	 0.000
 0.980	 0.101	 0.974	 0.024	 22.4	-2.960	 0.000	 0.000
