GT	Gx	Gy	Gz	Temperature	Gyrox	Gyroy	Gyroz
 1.025	 1.024	 0.005	-0.043	 21.4	-38.818	-26.886	-13.992
 1.029	 1.028	 0.007	-0.044	 21.5	-38.849	-26.871	-13.657
 1.024	 1.023	 0.003	-0.042	 21.5	-38.651	-26.855	-14.175
 1.026	 1.025	 0.006	-0.045	 21.6	-38.727	-26.947	-14.328
 1.025	 1.024	 0.005	-0.040	 21.5	-38.864	-26.810	-13.641
 1.028	 1.028	-0.004	-0.042	 21.7	-38.574	-26.794	-13.687
 1.027	 1.026	 0.002	-0.043	 21.5	-38.727	-26.917	-14.267
 1.030	 1.029	 0.004	-0.046	 21.5	-38.666	-27.008	-14.114
 1.021	 1.021	-0.003	-0.037	 21.6	-38.757	-26.764	-13.794
 1.029	 1.028	 0.006	-0.039	 21.6	-38.757	-26.810	-13.687
 1.023	 1.022	 0.002	-0.046	 21.5	-38.589	-26.886	-14.069
 1.024	 1.023	 0.002	-0.042	 21.5	-38.773	-27.069	-14.236
 1.017	 1.016	-0.002	-0.042	 21.6	-38.681	-26.962	-13.870
 1.025	 1.024	 0.003	-0.050	 21.6	-38.757	-26.901	-13.763
 1.027	 1.026	 0.005	-0.045	 21.6	-38.712	-26.840	-14.297
 1.030	 1.029	 0.004	-0.041	 21.5	-38.635	-26.917	-13.901
 1.025	 1.024	 0.003	-0.035	 21.6	-38.864	-26.871	-13.580
 1.023	 1.022	 0.002	-0.041	 21.6	-38.803	-26.978	-13.947
 1.024	 1.024	 0.000	-0.038	 21.5	-38.727	-27.039	-14.587
 1.027	 1.026	 0.000	-0.045	 21.6	-38.773	-26.840	-14.069
 1.023	 1.022	 0.007	-0.041	 21.6	-38.788	-26.901	-13.474
 1.025	 1.024	 0.005	-0.046	 21.5	-38.742	-26.703	-14.328
 1.024	 1.023	 0.002	-0.037	 21.6	-38.803	-26.947	-14.267
 1.028	 1.027	 0.003	-0.046	 21.6	-38.559	-26.855	-13.916
 1.024	 1.024	 0.008	-0.039	 21.5	-38.635	-26.901	-13.718
 1.025	 1.024	 0.005	-0.035	 21.5	-38.879	-26.840	-14.389
 1.025	 1.024	 0.001	-0.042	 21.6	-38.757	-27.069	-14.252
 1.029	 1.028	-0.000	-0.041	 21.5	-38.681	-26.672	-13.657
 1.027	 1.027	 0.003	-0.040	 21.6	-38.727	-26.901	-13.779
 1.024	 1.023	 0.003	-0.037	 21.5	-38.528	-26.825	-14.252
 1.024	 1.023	-0.004	-0.038	 21.6	-38.666	-27.115	-14.252
 1.026	 1.025	 0.002	-0.046	 21.5	-38.925	-27.100	-13.611
 1.026	 1.025	 0.009	-0.049	 21.6	-38.727	-26.901	-14.023
 1.023	 1.022	-0.001	-0.032	 21.5	-38.818	-26.993	-14.404
 1.024	 1.023	 0.000	-0.043	 21.6	-38.849	-26.947	-14.053
 1.024	 1.023	 0.006	-0.046	 21.6	-38.849	-26.901	-13.596
 1.029	 1.029	-0.002	-0.042	 21.7	-38.849	-26.825	-13.962
 1.025	 1.024	-0.001	-0.039	 21.6	-38.757	-26.810	-14.359
 1.025	 1.024	 0.001	-0.036	 21.5	-38.696	-26.855	-14.145
 1.025	 1.024	 0.002	-0.047	 21.6	-38.818	-26.749	-13.535
 1.023	 1.022	 0.004	-0.040	 21.6	-38.788	-27.054	-14.023
 1.022	 1.021	 0.005	-0.046	 21.5	-38.773	-26.657	-14.236
 1.024	 1.023	 0.003	-0.041	 21.7	-38.620	-26.825	-13.840
 1.033	 1.032	 0.001	-0.042	 21.6	-38.757	-26.733	-13.687
 1.022	 1.021	 0.004	-0.046	 21.6	-38.696	-26.962	-14.374
 1.024	 1.023	 0.004	-0.041	 21.6	-38.803	-26.932	-13.962
 1.031	 1.030	-0.003	-0.042	 21.6	-38.727	-26.932	-13.657
 1.024	 1.024	 0.002	-0.033	 21.6	-38.773	-26.978	-13.824
 1.031	 1.030	-0.003	-0.042	 21.6	-38.803	-26.825	-14.359
 1.022	 1.021	 0.005	-0.034	 21.5	-38.696	-26.733	-14.236
 1.027	 1.026	-0.001	-0.045	 21.6	-38.712	-26.764	-13.535
 1.029	 1.028	 0.007	-0.049	 21.5	-38.971	-26.962	-13.809
 1.031	 1.030	 0.002	-0.036	 21.6	-38.635	-26.855	-14.526
 1.027	 1.026	-0.005	-0.049	 21.6	-38.681	-26.917	-14.069
 1.031	 1.030	 0.001	-0.050	 21.6	-38.742	-26.627	-13.489
 1.026	 1.025	 0.001	-0.045	 21.6	-38.773	-27.039	-14.191
 1.020	 1.020	 0.002	-0.038	 21.6	-38.544	-26.855	-14.282
 1.019	 1.018	-0.001	-0.049	 21.6	-38.513	-26.627	-13.885
 1.022	 1.021	 0.001	-0.039	 21.5	-38.757	-26.917	-13.580
 1.025	 1.024	-0.001	-0.039	 21.5	-38.849	-26.978	-14.191
 1.030	 1.030	 0.001	-0.035	 21.6	-38.696	-26.901	-14.465
 1.028	 1.027	 0.002	-0.042	 21.6	-38.818	-27.084	-13.901
 1.029	 1.028	 0.003	-0.042	 21.5	-38.696	-26.855	-13.565
 1.027	 1.026	 0.005	-0.043	 21.5	-38.895	-26.871	-14.221
 1.029	 1.028	 0.000	-0.044	 21.6	-38.635	-26.825	-14.160
 1.031	 1.030	-0.000	-0.049	 21.5	-38.773	-26.855	-13.702
 1.019	 1.019	 0.003	-0.039	 21.5	-38.635	-26.855	-13.748
 1.017	 1.016	 0.007	-0.045	 21.6	-38.849	-26.917	-14.282
 1.029	 1.028	 0.003	-0.043	 21.5	-38.605	-27.039	-14.206
 1.025	 1.024	 0.004	-0.038	 21.6	-38.803	-26.764	-13.504
 1.025	 1.024	-0.000	-0.042	 21.5	-38.651	-26.947	-14.069
 1.028	 1.027	 0.000	-0.044	 21.6	-38.605	-26.947	-14.481
 1.026	 1.025	 0.004	-0.044	 21.6	-38.712	-26.962	-13.824
 1.029	 1.028	 0.002	-0.044	 21.6	-38.544	-26.779	-13.535
 1.020	 1.020	-0.000	-0.036	 21.5	-38.818	-26.794	-14.206
 1.025	 1.024	 0.004	-0.044	 21.6	-38.712	-26.825	-14.404
 1.025	 1.024	-0.002	-0.046	 21.6	-38.712	-26.962	-13.916
 1.028	 1.028	-0.001	-0.043	 21.5	-38.712	-27.023	-13.718
 1.022	 1.021	 0.000	-0.040	 21.5	-38.803	-27.023	-14.282
 1.024	 1.023	-0.005	-0.041	 21.5	-38.712	-27.115	-14.404
 1.026	 1.025	 0.006	-0.044	 21.5	-38.544	-26.810	-13.840
 1.027	 1.026	 0.002	-0.041	 21.5	-38.742	-26.764	-13.779
 1.025	 1.024	 0.001	-0.041	 21.6	-38.605	-26.947	-14.328
 1.025	 1.024	 0.001	-0.041	 21.5	-38.773	-27.039	-14.282
 1.026	 1.025	 0.004	-0.046	 21.6	-38.757	-26.993	-13.611
 1.024	 1.023	 0.002	-0.036	 21.5	-38.681	-26.901	-13.855
 1.025	 1.024	 0.003	-0.039	 21.5	-38.803	-26.962	-14.328
 1.020	 1.020	 0.004	-0.037	 21.5	-38.895	-26.871	-13.962
 1.022	 1.021	 0.003	-0.039	 21.5	-38.574	-26.855	-13.535
 1.022	 1.021	-0.001	-0.040	 21.5	-38.727	-26.779	-14.084
 1.028	 1.028	 0.001	-0.029	 21.6	-38.620	-26.932	-14.206
 1.025	 1.024	 0.002	-0.048	 21.6	-38.712	-26.672	-14.069
 1.023	 1.022	 0.000	-0.042	 21.6	-38.818	-26.779	-13.641
 1.023	 1.022	 0.001	-0.044	 21.6	-38.849	-26.962	-14.191
 1.019	 1.018	 0.004	-0.045	 21.6	-38.742	-26.855	-14.374
 1.023	 1.022	 0.003	-0.041	 21.5	-38.513	-26.871	-13.885
 1.027	 1.026	 0.002	-0.043	 21.6	-38.818	-26.962	-13.947
 1.029	 1.028	 0.002	-0.035	 21.6	-38.727	-26.825	-14.297
 1.029	 1.029	 0.000	-0.041	 21.6	-38.666	-26.764	-14.053
 1.023	 1.022	-0.001	-0.036	 21.5	-38.727	-27.008	-13.748
 1.029	 1.029	-0.000	-0.038	 21.5	-38.712	-26.733	-13.855
 1.029	 1.029	 0.002	-0.043	 21.6	-38.681	-26.733	-14.481
